id,exercise_title,code2vec
1,JavaScript: Get the first element of an array,"[-0.0007509997230954468,-0.017054898664355278,0.05196508811786771,-0.041437579318881035,0.04040319542400539]"
2,JavaScript: Clone an array,"[-0.029263748903758824,0.007642176002264023,0.022045503137633204,-0.012709440663456917,-0.011027976404875517]"
3,JavaScript: Get the first element of an array,"[-0.0007509997230954468,-0.017054898664355278,0.05196508811786771,-0.041437579318881035,0.04040319542400539]"
4,JavaScript: Get the last element of an array,"[-0.007094157917890698,-0.030702100601047277,0.047734183724969625,-0.023682376835495234,0.03550365078262985]"
5,JavaScript: Join all elements of an array into a string,"[0.026044713705778124,0.0046692387200891975,0.05890429886057973,-0.03587135849520564,-0.00639963373541832]"
6,JavaScript: Insert dashes (-) between each two even digits of a specific number,"[-0.007065134678179256,-0.006378505961038172,0.03347802126350311,-0.026910792463100876,0.019371911883354187]"
9,"JavaScript: Swap the case of each character of a string, upper case to lower and vice versa","[0.007271675557336386,-0.0027561047771836027,0.03469711810569553,-0.014878330533118808,0.0026438207749058217]"
7,JavaScript: Sort the items of an array,"[0.0259577453003398,-0.018173000974846736,0.07202589511871338,-0.016706328772540604,0.01466220271374498]"
8,JavaScript: Find the most frequent item of an array,"[0.015002037243296702,0.02193507014049424,0.010417431592941284,-0.029309820138021473,0.012229450823118288]"
10,JavaScript: Print the elements of an array,"[0.027717432738947015,-0.01295715942978859,0.06574321059244019,-0.03135003788130624,0.004308775599513735]"
11,JavaScript: Find the sum of squares of a numeric vector,"[0.02084394544363022,-0.0024874782189726833,0.05900421366095543,-0.021100925095379353,0.005742198694497347]"
12,JavaScript: Compute the sum and product of an array of integers,"[0.002583986952562224,0.002630715004422448,0.04160412468693473,-0.030846336348490284,0.037448723038489166]"
13,JavaScript: Add items in a blank array and display the items,"[0.005452577659690922,0.03099545065990903,0.03717037764462558,-0.0160209361506118,0.001052333042025566]"
14,"JavaScript: Remove duplicate items from an array, ignore case sensitivity","[0.006400629132986069,0.0061872241552919155,0.022076457040384412,0.0013577875681221486,0.00242703789845109]"
15,JavaScript: Display the colors entered in an array by a specific format,"[0.025287028052844107,0.026977295870892704,0.06741803325712681,-0.00617637112736702,0.025936716701835394]"
16,JavaScript: Find the leap years from a given range of years,"[0.01844695210456848,0.04730306938290596,0.04108781740069389,-0.015738168265670538,0.017819380049001087]"
17,JavaScript: Randomly arrange or shuffle an array,"[5.805113219789096e-05,0.003453435908470835,0.00893294545156615,0.014342752418347766,0.030529167769210677]"
18,JavaScript: Perform a binary search within an array,"[0.02927505801199004,0.016725674038752913,0.01674919668585062,0.016321152448654175,-0.01128265936858952]"
19,JavaScript: Compute the sum of each individual index value of two or more arrays,"[0.019149682418044125,0.00517771957259226,0.0491578479164413,-0.026635037269443274,0.031086413588907034]"
20,JavaScript: Find duplicate values in a array,"[-0.002089313164885555,0.020378519913979938,0.050309968180954456,-0.006741076707839966,-0.019564625940152576]"
21,JavaScript: Flatten a nested array,"[0.04441451607272029,0.0292953547090292,0.08640021532773973,-0.043429604917764666,-0.0007960733026266099]"
22,JavaScript: Compute the union of two arrays,"[0.03283732105046511,0.0356024368000882,0.04768934872533594,0.007009614392050675,0.034152717728699954]"
23,JavaScript: Find the difference of two arrays,"[0.028421464110059396,0.03748289841626371,0.028012026367442946,-0.02050021650003535,-0.003228251157062394]"
25,JavaScript: Sort the specified array of objects by title value,"[0.0047896466683596374,0.0031660893931984902,0.062007516436278824,-0.05230384133756161,0.03973935227841139]"
24,"JavaScript: Remove null, 0, blank, false, undefined and NaN values from an array","[-0.0028077314177957866,-0.022606104755630862,0.00126239806950952,-0.0027035331138624595,-0.011707277252123907]"
26,JavaScript: Find a pair of elements from an specified array whose sum equals a specific target number,"[0.0058425135417457886,0.006506524404839557,0.03440054440323044,-0.01676366465878399,-0.005042459760956904]"
27,JavaScript: Retrieve the value of a specified property from all elements in an array,"[0.023506932891905308,0.025451939087361097,0.05446172374234135,-0.012919186115530983,-0.0023509803494172437]"
28,JavaScript: Find the longest common starting substring in a set of strings,"[0.02661949194346865,0.017859951127320528,0.058632411853371494,-0.032116535895814494,-0.0035027547273784876]"
29,JavaScript: Fill an array with values on supplied bounds,"[-0.010615963333596785,-0.0005294376880758338,0.0007860083132982254,-0.0021953266113996506,-0.006479241730024417]"
30,JavaScript: Merge two arrays and removes all duplicates elements,"[-0.00934113525888986,0.01771350981046756,0.02175784742252694,0.0038808175466126865,-0.005287951686316066]"
31,JavaScript: Remove a specific element from an array,"[0.011365035024937242,0.00944350246572867,0.05282718117814511,-0.02062319911783561,0.002461258787661791]"
32,JavaScript: Find if an array contains a specific element,"[0.013669393904921081,-0.005082104303356674,0.019990993042786915,-0.014980667413005397,-0.012342301921712026]"
33,JavaScript: Empty an array keeping the original,"[-0.023928455010588677,-0.009645822857107434,0.0008422693769846643,0.0019049208079065594,-0.006175705963479621]"
34,JavaScript: Get nth largest element from an unsorted array,"[-0.0039059802786343624,-0.02042280810160769,0.02580628999405437,-0.022770195009393823,0.024134797354539234]"
35,JavaScript: Get a random item from an array,"[-0.00972073368029669,0.010298153676558286,0.02158445492386818,-0.016495970950927585,0.015726291050668806]"
36,JavaScript: Create a specified number of elements and pre-filled numeric value array,"[0.004419345680313805,0.012265090054521957,0.042911108738432326,-0.0355665892517815,0.02994685643352568]"
37,JavaScript: Create a specified number of elements and pre-filled string value array,"[-0.006638947602671881,0.0009189628375073273,0.04328344125921527,-0.04820191650651395,0.024940542178228498]"
38,JavaScript: Move an array element from one position to another,"[0.02477537784725428,0.03888784721493721,0.02133999578654766,-0.021493381122127175,-0.013591897115111351]"
39,"JavaScript: Filter false, null, 0 and blank values from an array","[-0.01763032939793034,0.004146904261274772,0.001670720394362103,-0.025213855043561623,-0.009100114080038938]"
40,"JavaScript: Generate an array of specified length, the content of the array is integer numbers, increase by one from starting","[0.012052706396207214,0.011197406612336636,0.03105902085080743,-0.012193624046631157,0.014187010284513236]"
41,JavaScript: Generate an array between two integers of 1 step length,"[-0.008134962609884415,0.00045197423208843577,0.018862995234402744,-0.031070938079871914,0.016880651258609512]"
42,JavaScript: Find the unique elements from two arrays,"[0.011565169203095138,0.03026168723590672,0.03850766713730991,-0.006544835981912911,-0.014046941418200731]"
43,JavaScript: Display the current day and time in a specific format,"[0.014554646501148289,0.031155732248655775,0.03977812242440202,-0.00957687334580855,0.002120786261829463]"
44,JavaScript: Print the contents of the current window,"[0.014394627185538411,-0.0060675612185150385,0.06090633990243077,-0.03631069324910641,-0.007704590447247028]"
45,JavaScript : Display the current date,"[0.042832835887869194,0.011196303491791088,0.05165094416588545,0.006399377249181271,0.030628011872371037]"
46,"JavaScript: Find the area of a triangle where lengths of the three of its sides are 5, 6, 7","[0.017825159734409107,0.010862825511905707,0.05767769175336549,-0.008216909230931808,0.0007935822696277969]"
47,JavaScript: Rotate a string from left to right,"[0.0073671829886734486,0.025887756259180605,0.047262647189199924,-0.014742106606718153,-0.027133018942549825]"
48,JavaScript: Check whether a given year is a leap year in the Gregorian calendar,"[0.02420740375029189,0.023455672764352387,0.030363248328545263,0.011569677985140255,-0.00246853447918381]"
49,JavaScript: Find 1st January be a Sunday between a range of years,"[0.013849238244195778,0.031665631996778146,0.0362627940873305,-0.0021798477973788977,0.01123830765330543]"
