id,word2vec
1,"[0.0012276675763793967,0.008412833431396972,0.030206839469346134,-0.005204479464075782,-0.0264079018749974]"
2,"[0.0022593836067244413,-0.008600004645995796,0.04078701734542847,-0.004382078908383847,-0.02927459925413132]"
3,"[0.01920647704257415,0.004107038490474224,0.04054277289945346,-0.004067712033597323,-0.002618894661561801]"
4,"[0.026399859142574398,-0.0021001076833768325,0.05674995261837136,0.010244938629594717,-0.0020925339988686824]"
5,"[-0.014818551018834114,-0.017721332726068795,0.03238828876055777,-0.01237813534680754,-0.029522861819714308]"
6,"[-0.007581987604498863,0.008894202485680581,0.016700279712677003,-0.02570761051028967,0.011658025160431863]"
7,"[-0.012566370517015459,0.019899110309779644,0.05538575220271014,-0.044568711146712306,0.017705252021551134]"
8,"[-0.012193493358790875,-0.020481770671904088,0.03843777566216886,-0.010114561766386032,-0.028376113995909693]"
9,"[-0.006269939960195469,-0.02029557483127484,0.029397958853783518,0.007882975041866302,-0.021938258065627173]"
10,"[0.013884729826046775,-0.005228031364579996,0.008499764728670318,-0.022371665760874748,0.0015515419964989025]"
11,"[-0.013525125104933977,0.005154405604116619,0.044138133293017745,-0.03811297123320401,-0.006971606402657926]"
12,"[0.0058761477470397954,0.006198342330753804,0.06981068477034569,-0.038086483255028725,-0.03205773197114468]"
13,"[0.02612279338592833,-0.036070696670900695,0.0490527626296336,0.01943285619332032,-0.004745410247282549]"
14,"[0.01124655336818912,0.012169255282391201,0.02816472625867887,-0.021563114259730686,-0.014557102525776083]"
15,"[0.02881914097815752,-0.004210015060380101,0.03883532714098692,-0.04020400409353897,-0.004976594587787986]"
16,"[0.00034296860394533724,-0.0033481508227331297,0.049527338173772605,-0.013685729620712144,-0.011679634169143225]"
17,"[0.037608085130341355,-0.015357520338147879,0.030641452595591548,-0.007886459119617939,-0.00496008861809969]"
18,"[0.002152323932386935,-0.005970416311174631,0.03774221688508988,-0.003214414976537228,-0.01347426660358906]"
19,"[0.026390483975410464,0.018603729642927648,0.03590441732667387,-0.05128488130867481,-0.0041484083107206976]"
20,"[0.04986515016450236,0.016071126253033675,0.030785076475391783,-0.02374519005146188,-0.015375582423682014]"
21,"[0.03286333728049482,0.010344585536846092,0.04047501353280885,-0.009616445483905929,-0.0057116751725386295]"
22,"[0.028351014759391547,0.010119270067662,0.019553846865892413,-0.01956777982413769,-0.003058367595076561]"
23,"[0.005156854995422893,0.00733361545846694,0.01808005053963926,-0.021308605352209672,-0.006853430428438716]"
24,"[0.04083022624254227,0.008882166258990765,0.028924886323511603,-0.01729011330753565,-0.008450496848672629]"
25,"[0.022475241124629976,0.04276817608624697,0.02098667845129967,-0.034894255176186564,-0.033419548720121386]"
26,"[0.029151659046944518,-0.0022115457373169754,0.03073408092873601,-0.0020918993350978084,-0.02203200599895074]"
27,"[-0.01197868709762891,0.014098913719256718,-0.01403294038027525,-0.039914178041120366,0.009388208854943514]"
28,"[-0.01197868709762891,0.014098913719256718,-0.01403294038027525,-0.039914178041120366,0.009388208854943514]"
29,"[0.024510731122323444,0.007669131138495036,0.029251447479639734,-0.03914588237447398,-0.019592500690902983]"
30,"[0.006183689149717489,0.006831744711639152,0.04160771984606981,-0.03855214226577017,-0.0065437379396624034]"
31,"[0.010181692661717534,-0.04791060625575483,0.020094629348022863,0.00595204223645851,-0.0013467308053805027]"
32,"[0.0032054103910923006,-0.03281159698963165,-0.0009887024760246276,0.0007696335203945637,-0.007584616541862488]"
33,"[0.014561085030436516,-0.05263436818495393,0.03139669634401798,-0.00789019966032356,-0.0246149729937315]"
34,"[0.009583435420479092,-0.00376432721636125,0.013483702072075434,-0.04342721003506864,0.0022808584783758435]"
35,"[0.029476702834169068,0.01063534605782479,0.0590844036390384,-0.06022607993024091,-0.017554431532820065]"
37,"[0.0027362857130356134,0.009744405187666417,0.007054480444639921,-0.013369693839922548,-0.01082433246774599]"
38,"[0.0015091385692358019,-0.005070134997367859,0.05249847061932087,-0.008315234258770943,-0.030581500381231308]"
39,"[0.01145036518573761,-0.0008742146892473102,0.052846271682938095,-0.0189686247613281,-0.0282263676635921]"
41,"[0.01228196227124759,-0.009882026884172643,0.04442272494946207,0.018245105897741656,-0.00799936322229249]"
42,"[-0.010432495070355279,-0.0032050018864018576,0.04202337239569585,0.0026064198464155197,-0.006685415016753332]"
43,"[0.000859792003981196,0.006729228422045708,0.043037462406433545,0.008343143818470148,-0.038186565883314386]"
45,"[-0.025472784996964037,-0.023017968167550862,0.022133101811050437,-0.02004830606165342,-0.024852788308635354]"
46,"[0.03357518594712019,-0.009331889171153308,0.031377066019922496,-0.04163766372948885,-0.004130087792873383]"
47,"[0.036002393625676636,0.003120741154998541,0.025851621571928263,-0.032077749632298945,0.0015233546495437623]"
48,"[0.02505988734109061,0.013006403776151792,0.05008336369480405,-0.00029200288866247447,-0.027996407555682317]"
49,"[0.0005068064977725346,-0.00529658953504016,-0.0054948090692050755,0.0011567948386073112,-0.00813221124311288]"
